Customer,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,policy_type_id,policy_lvl_id,state_id
DM79012,7380.976717,No,Extended,Master,2/6/11,Employed,F,65706,Suburban,Married,91,19,86,0,8,Offer2,Web,436.8,Four-Door Car,Small,2,2,5
CM61827,3090.034104,No,Extended,Bachelor,1/25/11,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Offer3,Agent,648.0,Two-Door Car,Small,2,7,5
WC35801,2521.633095,No,Basic,High School or Below,2/7/11,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Offer1,Call Center,157.397849,Four-Door Car,Medsize,2,2,2
QG25316,2652.061785,No,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Offer3,Call Center,484.318536,Two-Door Car,Medsize,1,1,3
MB98372,2771.045031,Yes,Basic,College,1/11/11,Employed,F,50071,Rural,Single,71,3,32,0,1,Offer2,Agent,18.918935,Two-Door Car,Medsize,1,1,5
IL19217,3939.00637,Yes,Extended,Bachelor,1/28/11,Employed,F,60021,Suburban,Married,99,12,28,0,1,Offer2,Agent,882.871945,Four-Door Car,Small,2,7,4
SR38658,12231.87968,No,Basic,High School or Below,2/8/11,Employed,M,43244,Suburban,Married,103,15,16,0,2,Offer4,Agent,494.4,Sports Car,Medsize,2,7,2
DH41343,2443.665166,No,Basic,College,2/23/11,Employed,M,92834,Suburban,Married,61,15,56,0,1,Offer2,Call Center,292.8,Four-Door Car,Large,3,5,1
HG65722,12819.10289,No,Premium,Doctor,1/25/11,Disabled,F,10105,Rural,Married,172,5,4,3,3,Offer1,Branch,0.517753,SUV,Medsize,2,7,5
BU27331,4468.510542,No,Basic,Bachelor,1/31/11,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Offer3,Call Center,579.165954,Four-Door Car,Medsize,2,2,2
XM45289,5514.344018,No,Basic,High School or Below,1/2/11,Employed,F,23218,Suburban,Single,71,7,10,0,4,Offer4,Agent,447.79344,Two-Door Car,Medsize,2,7,5
KP34198,3343.875326,No,Extended,Bachelor,2/7/11,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Offer2,Call Center,529.624084,Four-Door Car,Medsize,1,3,4
SH90947,2294.478927,No,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Offer4,Branch,313.023175,Four-Door Car,Medsize,2,7,2
WE95729,36707.42639,No,Basic,College,1/17/11,Employed,M,24804,Suburban,Married,104,1,28,0,2,Offer1,Agent,593.830288,SUV,Small,2,7,5
PY51963,33473.34946,Yes,Basic,Bachelor,1/11/11,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Offer1,Web,508.8,SUV,Medsize,1,6,4
RB69909,7983.431709,No,Basic,High School or Below,2/21/11,Employed,F,36014,Rural,Married,69,4,40,3,2,Offer4,Branch,173.956072,Four-Door Car,Medsize,3,8,3
XR95069,4854.745666,No,Basic,Bachelor,2/16/11,Employed,M,29834,Suburban,Single,64,19,44,0,3,Offer4,Agent,307.2,Four-Door Car,Medsize,2,2,1
FR46645,4293.997319,No,Premium,Bachelor,1/17/11,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Offer1,Branch,831.625979,Four-Door Car,Small,2,7,4
SY17488,7164.395543,No,Extended,College,2/5/11,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Offer3,Call Center,436.8,Four-Door Car,Small,1,1,2
AP67935,7619.5158,No,Basic,College,2/13/11,Employed,M,64749,Urban,Married,64,24,59,0,2,Offer2,Branch,302.56519,Four-Door Car,Medsize,3,5,4
FS37417,3958.002823,No,Basic,High School or Below,2/23/11,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Offer1,Call Center,484.8,SUV,Small,2,7,2
ML29312,4499.493252,No,Extended,High School or Below,1/28/11,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Offer1,Call Center,704.768111,SUV,Medsize,2,2,5
UB61619,4059.567414,No,Premium,Master,2/28/11,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Offer1,Agent,518.4,Four-Door Car,Medsize,2,4,5
CD86811,4458.113369,Yes,Basic,Bachelor,1/2/11,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Offer1,Agent,312.0,Four-Door Car,Medsize,2,4,2
RU83859,8110.333139,No,Premium,Bachelor,1/22/11,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Offer1,Call Center,504.0,Two-Door Car,Small,2,2,4
FG63582,3339.764873,No,Extended,Bachelor,1/15/11,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Offer1,Agent,863.327324,Two-Door Car,Small,2,2,5
NN71951,24261.01777,No,Basic,High School or Below,1/27/11,Employed,F,66525,Rural,Married,100,0,86,0,2,Offer1,Agent,104.331355,SUV,Medsize,2,2,4
WB37082,6613.973653,No,Basic,Bachelor,1/23/11,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Offer3,Branch,676.391482,Four-Door Car,Large,2,2,2
SM52139,2930.693543,No,Basic,College,1/31/11,Employed,M,33663,Suburban,Married,73,29,71,0,1,Offer3,Web,350.4,Four-Door Car,Medsize,2,2,1
FL82372,8672.194272,No,Basic,College,1/26/11,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Offer1,Agent,537.6,SUV,Medsize,1,1,5
DP45816,11638.66926,No,Extended,High School or Below,1/10/11,Employed,F,61486,Urban,Married,97,5,65,0,2,Offer4,Branch,465.258644,Two-Door Car,Small,2,2,2
GW33762,6846.150323,Yes,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Offer1,Call Center,456.0,Two-Door Car,Large,2,2,5
RZ33670,11727.77648,No,Premium,College,1/9/11,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Offer3,Web,500.254235,Four-Door Car,Medsize,2,2,4
PY70169,22643.83478,No,Basic,High School or Below,2/24/11,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Offer4,Agent,281.451042,SUV,Medsize,2,2,5
MO91628,2614.474305,No,Basic,Master,2/11/11,Employed,M,65186,Rural,Married,65,29,27,0,1,Offer2,Web,5.434505,Two-Door Car,Large,2,7,5
HW87852,2451.752695,No,Basic,Master,2/12/11,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Offer1,Agent,307.2,Four-Door Car,Medsize,2,4,5
HB20453,6781.270203,No,Basic,Bachelor,2/4/11,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Offer1,Agent,982.399613,Sports Car,Medsize,2,2,5
BN87372,4974.801539,Yes,Basic,Bachelor,1/18/11,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Offer2,Branch,467.803638,Two-Door Car,Medsize,2,2,5
YX23800,8591.604933,No,Basic,Bachelor,2/11/11,Employed,M,38984,Suburban,Married,73,27,38,0,2,Offer2,Branch,350.4,Four-Door Car,Small,2,2,5
DZ87709,5592.161392,No,Basic,High School or Below,2/1/11,Employed,F,71811,Rural,Single,71,17,48,0,6,Offer2,Call Center,29.03416,Four-Door Car,Medsize,2,4,5
XW13033,8009.472833,No,Basic,College,2/15/11,Employed,M,20961,Suburban,Married,67,20,33,0,2,Offer2,Agent,321.6,Four-Door Car,Medsize,2,4,3
LN31673,11318.08982,No,Extended,College,2/6/11,Employed,M,38923,Rural,Married,99,6,83,2,2,Offer1,Agent,115.728852,Four-Door Car,Medsize,2,2,1
OM82309,58166.55351,No,Basic,Bachelor,2/27/11,Employed,M,61321,Rural,Single,186,0,30,1,2,Offer2,Branch,427.63121,Luxury Car,Small,2,2,4
ZU35962,8025.229358,No,Extended,College,1/26/11,Unemployed,F,0,Rural,Single,77,20,26,0,2,Offer3,Branch,25.807685,Two-Door Car,Large,2,2,4
VH85817,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,M,51066,Suburban,Single,74,23,0,0,8,Offer2,Call Center,787.993313,Four-Door Car,Medsize,2,2,4
DT85712,4118.539113,No,Basic,Doctor,1/27/11,Employed,M,34378,Suburban,Married,102,12,54,0,1,Offer3,Branch,489.6,SUV,Medsize,2,4,4
YJ88573,2523.07015,No,Basic,Master,1/16/11,Employed,M,43072,Suburban,Married,63,35,15,0,1,Offer2,Call Center,302.4,Four-Door Car,Large,2,2,3
SQ19467,6554.216396,No,Extended,College,1/27/11,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Offer2,Agent,475.623251,Four-Door Car,Small,2,2,5
HF88410,7703.397294,No,Basic,High School or Below,2/28/11,Employed,M,36765,Suburban,Married,66,15,32,1,2,Offer1,Call Center,320.849072,Four-Door Car,Medsize,2,7,1
ET79815,5926.729379,Yes,Extended,College,1/25/11,Retired,M,23091,Suburban,Married,96,28,90,5,5,Offer1,Agent,460.8,Four-Door Car,Medsize,2,4,4
QC35222,2683.470677,No,Basic,Bachelor,1/1/11,Employed,F,48269,Urban,Married,69,3,79,3,1,Offer3,Web,282.151207,Four-Door Car,Medsize,1,3,4
CJ15590,2695.182419,No,Basic,Bachelor,2/1/11,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Offer3,Branch,321.6,Four-Door Car,Medsize,2,7,5
OI48267,6047.02516,Yes,Extended,College,2/19/11,Employed,M,20396,Suburban,Married,76,15,60,1,4,Offer1,Branch,364.8,Four-Door Car,Medsize,2,2,4
JY67916,13171.01282,No,Premium,College,1/27/11,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Offer2,Branch,679.827592,Two-Door Car,Small,2,2,5
OE75231,10656.88195,Yes,Extended,Bachelor,2/27/11,Employed,F,72540,Suburban,Married,88,7,3,0,2,Offer2,Call Center,631.743039,Two-Door Car,Medsize,1,1,1
CZ33664,2527.653796,No,Basic,Bachelor,1/17/11,Employed,F,80744,Rural,Married,63,24,84,0,1,Offer1,Agent,11.879037,Four-Door Car,Medsize,1,1,5
WK30175,2672.095756,No,Basic,Bachelor,2/10/11,Employed,M,52822,Suburban,Married,67,23,88,0,1,Offer1,Branch,350.529033,Two-Door Car,Small,1,6,5
ON44465,5313.294035,No,Extended,High School or Below,1/24/11,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Offer1,Agent,863.3947,Four-Door Car,Medsize,2,7,4
TV87155,20946.19251,No,Basic,Bachelor,2/24/11,Employed,F,69738,Suburban,Married,74,2,26,1,2,Offer1,Branch,492.127532,Four-Door Car,Large,2,2,5
KH48895,8375.353929,No,Basic,Master,2/15/11,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Offer1,Branch,132.588288,SUV,Medsize,2,2,2
NZ30757,4801.661503,No,Basic,Bachelor,2/16/11,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Offer1,Agent,297.6,Four-Door Car,Medsize,2,7,4
RI22468,5745.94334,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30,87,3,9,Offer3,Web,269.905129,Four-Door Car,Medsize,2,4,2
FZ30935,6066.115969,No,Extended,College,2/25/11,Employed,M,32627,Suburban,Married,76,11,60,0,7,Offer1,Agent,380.036697,Two-Door Car,Small,2,7,5
UG93476,8002.308333,Yes,Basic,College,1/11/11,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Offer1,Agent,513.6,SUV,Medsize,2,2,4
AB96670,2393.915369,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Offer1,Branch,425.266308,Four-Door Car,Medsize,2,4,4
XK64261,4762.8179,No,Basic,Bachelor,1/12/11,Employed,M,65795,Rural,Single,62,2,85,1,3,Offer3,Call Center,49.011099,Two-Door Car,Medsize,1,1,5
EV68375,4330.38602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107,9,18,0,1,Offer2,Branch,513.6,Four-Door Car,Medsize,2,2,4
UN51653,9402.729769,No,Extended,High School or Below,2/9/11,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Offer1,Web,936.0,SUV,Medsize,2,2,4
TO96662,6966.694527,No,Extended,Bachelor,1/19/11,Employed,F,41837,Rural,Married,88,29,93,0,9,Offer1,Call Center,142.062768,Four-Door Car,Small,2,2,5
MR52087,7694.064293,No,Basic,Bachelor,1/4/11,Employed,F,32303,Rural,Married,65,13,34,0,2,Offer3,Branch,45.152521,Four-Door Car,Medsize,2,4,4
DE75225,8717.561149,No,Basic,High School or Below,1/9/11,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Offer1,Agent,561.6,SUV,Medsize,2,4,5
EP80820,5928.748528,No,Basic,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74,17,32,0,9,Offer1,Agent,30.567357,Two-Door Car,Medsize,2,2,4
GU99037,2452.977288,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62,5,86,1,1,Offer4,Agent,271.606799,Four-Door Car,Medsize,1,6,5
WI57118,6701.571657,No,Extended,College,2/27/11,Employed,M,56398,Suburban,Married,85,4,18,0,7,Offer4,Agent,408.0,Four-Door Car,Small,2,2,4
YQ74870,7556.24034,No,Extended,High School or Below,2/12/11,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Offer2,Web,470.4,Four-Door Car,Small,1,3,1
MQ14219,8492.6988,No,Basic,College,2/26/11,Employed,M,27804,Suburban,Married,109,19,54,0,7,Offer2,Branch,784.8,SUV,Medsize,2,2,2
KN20603,7713.494046,No,Basic,Bachelor,2/20/11,Employed,M,45506,Suburban,Single,66,16,32,2,2,Offer1,Agent,316.8,Four-Door Car,Medsize,2,2,5
CR48975,24084.5352,No,Basic,High School or Below,2/2/11,Employed,M,65196,Suburban,Married,67,0,54,0,2,Offer4,Branch,396.082036,Four-Door Car,Medsize,2,7,1
JI70886,7290.069769,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Offer1,Agent,489.6,SUV,Medsize,1,3,4
VF72557,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Offer2,Agent,638.4,SUV,Medsize,2,2,5
OX28638,6806.491395,No,Extended,High School or Below,1/21/11,Employed,M,37839,Suburban,Married,86,35,77,0,9,Offer2,Branch,465.633954,Two-Door Car,Medsize,2,2,2
SK55033,2469.781334,No,Basic,Bachelor,1/15/11,Employed,F,92711,Suburban,Single,62,24,10,0,1,Offer3,Agent,368.400146,Two-Door Car,Medsize,2,7,4
OO88645,3103.923041,No,Extended,College,2/5/11,Employed,F,74665,Urban,Married,78,10,90,2,1,Offer2,Call Center,236.902001,Four-Door Car,Medsize,1,3,4
YT36855,2981.875575,No,Extended,College,2/24/11,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Offer3,Web,582.679087,Two-Door Car,Medsize,2,7,1
CW82151,8902.737595,No,Basic,Bachelor,1/5/11,Employed,M,46833,Rural,Married,112,6,3,0,9,Offer1,Call Center,64.109663,Sports Car,Medsize,2,2,4
DY22043,5499.447223,No,Basic,High School or Below,1/28/11,Employed,F,88768,Suburban,Married,68,17,77,0,7,Offer3,Branch,326.4,Two-Door Car,Small,2,2,5
SH36774,15023.59858,No,Basic,High School or Below,1/12/11,Employed,M,28262,Suburban,Single,192,9,77,0,3,Offer3,Web,921.6,Luxury SUV,Medsize,2,2,4
EM43724,2509.107875,No,Basic,Bachelor,2/16/11,Employed,F,33555,Rural,Married,63,17,11,0,1,Offer1,Agent,101.89645,Four-Door Car,Medsize,2,2,3
FH85960,31221.7481,No,Premium,College,1/3/11,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Offer1,Call Center,542.4,Four-Door Car,Medsize,2,7,5
XA55993,3133.503432,No,Extended,Master,2/7/11,Employed,F,58850,Rural,Single,78,20,26,0,1,Offer2,Branch,143.747794,Four-Door Car,Medsize,2,2,5
GO36627,3837.451863,No,Extended,College,1/13/11,Employed,M,21880,Urban,Married,97,29,37,0,1,Offer1,Branch,424.077159,Four-Door Car,Medsize,3,5,2
QH48047,11790.49617,Yes,Basic,College,1/3/11,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Offer2,Web,316.8,Four-Door Car,Medsize,2,7,5
RB50392,7838.068321,No,Basic,Master,2/17/11,Unemployed,F,0,Rural,Married,69,9,12,0,2,Offer2,Agent,2.704934,Four-Door Car,Medsize,2,4,1
UH65059,4305.808345,No,Basic,High School or Below,1/21/11,Employed,M,24188,Suburban,Married,109,14,82,0,1,Offer1,Agent,523.2,Sports Car,Medsize,2,2,2
FV21968,5973.976904,No,Basic,Bachelor,1/26/11,Employed,F,41611,Rural,Married,74,14,8,0,8,Offer1,Branch,113.801497,Four-Door Car,Medsize,3,5,3
QA87025,5670.442396,No,Basic,Bachelor,1/31/11,Employed,F,28406,Urban,Married,72,16,35,1,4,Offer1,Call Center,192.87572,Four-Door Car,Medsize,2,2,5
TQ13499,4731.749346,No,Premium,College,1/2/11,Employed,M,69833,Suburban,Married,118,32,99,0,1,Offer1,Agent,828.662719,Four-Door Car,Small,2,2,2
BU44523,8026.379641,No,Basic,High School or Below,2/7/11,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Offer1,Web,532.8,Four-Door Car,Small,1,3,2
MS41162,4022.963529,No,Basic,High School or Below,1/26/11,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Offer1,Agent,975.107098,SUV,Medsize,2,2,2
PU25891,9618.310865,No,Basic,High School or Below,1/11/11,Employed,F,80536,Rural,Married,119,5,83,0,3,Offer1,Branch,53.798708,Sports Car,Medsize,3,5,5
RB81636,2274.775451,No,Basic,College,1/15/11,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Offer2,Agent,606.642452,Four-Door Car,Small,2,7,1
SX26335,9552.926922,No,Extended,College,2/8/11,Employed,F,97732,Urban,Married,79,0,70,0,2,Offer4,Branch,289.9122,Four-Door Car,Medsize,2,2,5
AZ95587,10388.55323,No,Extended,Bachelor,1/11/11,Employed,F,61222,Urban,Single,89,20,55,0,2,Offer3,Branch,392.604371,Four-Door Car,Small,3,9,2
DS81757,2470.121222,No,Basic,College,1/9/11,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Offer4,Web,721.242206,Two-Door Car,Large,2,4,5
OJ94107,5619.068508,No,Premium,Master,2/4/11,Employed,M,50335,Urban,Married,140,9,54,0,1,Offer1,Call Center,456.52385,SUV,Medsize,2,7,2
LP84436,9047.119209,No,Extended,High School or Below,1/21/11,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Offer3,Branch,1087.995426,Sports Car,Medsize,2,7,4
YV64727,6692.143668,No,Premium,High School or Below,2/16/11,Employed,M,63221,Suburban,Married,168,28,49,0,1,Offer3,Agent,806.4,SUV,Medsize,1,1,1
LM19287,3731.504584,Yes,Extended,High School or Below,2/24/11,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Offer1,Agent,460.8,Four-Door Car,Large,2,4,5
ZU18643,3660.770258,No,Extended,Bachelor,1/18/11,Employed,M,64495,Urban,Married,92,34,30,0,1,Offer4,Web,251.992083,Four-Door Car,Medsize,1,3,3
AZ82578,7928.829252,No,Basic,College,1/30/11,Unemployed,F,0,Suburban,Married,72,7,75,0,2,Offer1,Call Center,345.6,Four-Door Car,Medsize,1,1,4
XC67861,5011.751577,No,Basic,Bachelor,1/9/11,Employed,F,28859,Suburban,Divorced,67,24,51,3,4,Offer1,Call Center,321.6,Two-Door Car,Medsize,1,3,2
YC43143,7988.258292,No,Extended,High School or Below,2/1/11,Employed,F,77330,Rural,Married,99,0,21,0,3,Offer2,Web,99.257608,Four-Door Car,Medsize,2,2,2
EK59571,3885.456401,Yes,Premium,College,2/28/11,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Offer1,Branch,504.0,Four-Door Car,Large,1,3,5
GD83998,2659.337982,No,Basic,Bachelor,1/31/11,Employed,M,24495,Suburban,Single,70,29,65,0,1,Offer4,Branch,336.0,Four-Door Car,Small,2,7,1
WA25797,8564.768226,Yes,Basic,High School or Below,2/17/11,Employed,M,95697,Rural,Married,107,29,29,0,9,Offer2,Agent,178.006524,Sports Car,Medsize,2,2,1
PD27940,4885.162511,No,Extended,High School or Below,2/12/11,Disabled,M,26372,Suburban,Married,126,11,7,0,1,Offer4,Agent,604.8,SUV,Medsize,2,2,2
BS77946,9753.307106,No,Extended,Bachelor,2/24/11,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,Offer1,Branch,8.312729,SUV,Medsize,2,4,2
YM50253,2946.153697,No,Basic,Bachelor,2/1/11,Employed,F,89270,Urban,Single,74,17,90,0,1,Offer2,Branch,316.599228,Four-Door Car,Medsize,2,2,4
NR15332,2581.110945,No,Basic,High School or Below,2/6/11,Employed,M,29757,Suburban,Married,65,13,55,0,1,Offer2,Web,312.0,Four-Door Car,Small,2,7,4
RC62865,3517.385764,No,Extended,College,1/23/11,Employed,M,51814,Rural,Single,92,28,89,0,1,Offer3,Agent,56.300724,Four-Door Car,Medsize,2,7,5
