Fecha,ID_Anuncio,Impresiones,Clics,Interacciones,Conversiones,Quartil_25,Quartil_50,Quartil_75,Completado,Spend
2022-01-03,3021,3256,285,1036,20,468,78,9,7,80.62
2022-01-03,3022,1370,56,56,13,379,42,9,8,21.85
2022-01-03,3023,4198,52,94,30,1773,798,103,98,12.69
2022-01-03,3024,2313,69,71,2,1927,382,188,144,23.16
2022-01-03,3025,3672,1350,2005,944,504,71,65,64,83.81
2022-01-03,3026,1681,679,1377,175,268,124,42,32,278.79
2022-01-03,3027,512,31,38,6,121,48,8,7,4.65
2022-01-03,3028,1860,159,444,77,606,425,57,57,15.17
2022-01-03,3029,3876,306,240,96,1203,141,51,47,130.96
2022-01-03,3030,2210,13,8,2,991,325,33,20,3.17
2022-01-03,3031,3919,331,621,97,923,743,160,94,43.66
2022-01-03,3032,2599,21,59,15,2599,311,95,91,6.14
2022-01-03,3033,982,167,322,32,112,70,10,5,65.49
2022-01-03,3034,2739,206,616,8,1218,748,82,74,33.35
2022-01-03,3035,711,71,89,18,93,15,6,3,17.11
2022-01-03,3036,2096,128,153,8,514,179,21,16,9.96
2022-01-03,3037,3558,199,327,104,562,205,68,62,14.57
2022-01-03,3038,4337,754,699,13,922,124,33,19,179.78
2022-01-03,3039,2940,358,491,123,479,70,7,7,144.51
2022-01-03,3040,2409,273,430,163,329,59,24,15,108.63
2022-01-03,3041,424,10,18,3,69,9,3,3,2.65
2022-01-03,3042,419,55,53,25,77,7,1,1,14.14
2022-01-03,3043,3549,88,144,36,354,63,7,6,38.97
2022-01-03,3044,2147,31,125,23,598,475,90,68,10.3
2022-01-03,3045,3998,233,725,121,1983,1302,266,189,85.25
2022-01-03,3046,3015,107,205,64,434,54,50,27,21.14
2022-01-03,3047,2198,105,173,41,534,75,61,40,16.34
2022-01-03,3048,3932,649,3111,82,552,97,13,13,174.33
2022-01-03,3049,1629,61,18,2,238,154,19,9,26.01
2022-01-03,3050,1235,238,177,75,613,322,80,47,23.8
2022-01-04,3001,3580,125,162,37,706,219,24,15,8.72
2022-01-04,3002,366,29,38,16,151,16,4,2,2.5
2022-01-04,3003,1903,32,79,7,209,27,6,5,5.87
2022-01-04,3004,4378,903,1231,496,547,244,42,26,208.28
2022-01-04,3005,814,103,290,62,751,93,23,23,35.3
2022-01-04,3006,3383,250,245,89,417,87,9,5,79.04
2022-01-04,3007,1072,33,48,3,188,155,16,16,5.7
2022-01-04,3008,3833,111,481,83,2981,763,107,55,55.37
2022-01-04,3009,4171,779,617,237,558,474,108,101,236.91
2022-01-04,3010,4141,314,439,6,432,154,20,19,35.61
2022-01-04,3011,4485,577,232,84,514,135,105,83,207.74
2022-01-04,3012,2352,153,602,64,249,71,7,4,26.4
2022-01-04,3013,2250,62,18,2,315,278,32,29,13.04
2022-01-04,3014,1165,4,13,0,200,33,7,7,1.62
2022-01-04,3015,306,130,95,18,299,34,4,2,23.07
2022-01-04,3016,4989,732,204,91,992,164,23,19,238.33
2022-01-04,3017,773,32,70,19,82,26,2,2,11.96
2022-01-04,3018,4417,119,6,1,1224,242,36,28,41.96
2022-01-04,3019,605,48,8,0,129,31,10,7,23.54
2022-01-04,3020,2616,39,94,16,269,79,18,15,4.31
2022-01-04,3021,2805,287,78,9,303,239,44,40,49.05
2022-01-04,3022,855,277,468,67,168,61,11,6,44.46
2022-01-04,3023,3009,34,87,29,338,38,7,4,14.59
2022-01-04,3024,3447,119,457,135,416,148,14,9,14.66
2022-01-04,3025,3181,143,230,29,416,45,11,10,31.54
2022-01-04,3026,117,7,3,0,21,6,1,0,1.18
2022-01-04,3027,2233,295,359,123,964,636,271,225,80.02
2022-01-04,3028,428,47,163,80,209,26,2,1,8.92
2022-01-04,3029,3740,79,85,24,394,50,15,8,6.95
2022-01-04,3030,4390,67,13,1,784,127,54,34,31.64
2022-01-04,3031,4403,93,123,29,1832,267,75,51,41.81
2022-01-04,3032,867,62,92,20,113,12,1,0,28.61
2022-01-04,3033,4109,39,45,0,986,123,24,13,3.87
2022-01-04,3034,2105,55,102,38,963,626,96,62,20.93
2022-01-04,3035,4896,485,1159,325,815,381,42,22,98.67
2022-01-04,3036,4176,379,733,5,503,70,11,8,52.24
2022-01-04,3037,4367,1904,668,220,517,72,27,23,688.46
2022-01-04,3038,1173,227,398,64,848,263,49,40,86.98
2022-01-04,3039,730,70,34,13,83,72,9,7,14.62
2022-01-04,3040,4495,174,108,30,2516,548,265,238,69.83
2022-01-04,3041,575,217,1029,22,364,80,8,7,40.26
2022-01-04,3042,2262,206,813,20,251,92,41,40,74.77
2022-01-04,3043,736,32,37,13,170,155,40,33,2.55
2022-01-04,3044,1720,48,189,49,796,489,408,298,10.27
2022-01-04,3045,577,47,68,1,70,9,1,0,17.99
2022-01-04,3046,776,44,18,5,155,19,3,1,6.32
2022-01-04,3047,528,68,159,30,421,45,26,26,33.68
2022-01-04,3048,1549,140,350,37,219,22,2,2,13.61
2022-01-04,3049,4005,493,237,36,550,107,53,27,52.02
2022-01-04,3050,3312,336,471,223,738,606,102,51,163.43
2022-01-05,3001,1201,19,17,7,170,18,3,3,4.84
2022-01-05,3002,2007,82,183,38,645,80,12,8,20.37
2022-01-05,3003,3507,230,226,17,649,563,63,52,29.1
2022-01-05,3004,3799,407,616,125,3069,543,96,90,123.83
2022-01-05,3005,2509,28,31,10,1063,158,20,11,9.93
2022-01-05,3006,4008,152,97,8,879,144,68,66,32.16
2022-01-05,3007,1622,53,69,13,256,81,8,6,12.23
2022-01-05,3008,1723,276,400,68,960,128,13,11,78.0
2022-01-05,3009,4299,262,80,2,1674,661,94,75,37.0
2022-01-05,3010,1430,29,6,3,325,38,4,2,12.07
2022-01-05,3011,1812,245,175,2,212,34,7,4,90.59
2022-01-05,3012,4284,385,136,1,457,283,70,55,81.88
2022-01-05,3013,737,58,173,57,107,30,12,6,12.22
2022-01-05,3014,405,16,4,2,62,11,1,0,0.87
2022-01-05,3015,963,175,214,97,137,19,3,1,85.51
2022-01-05,3016,2707,89,220,57,275,112,17,10,20.93
2022-01-05,3017,1926,313,184,41,498,298,89,80,65.95
2022-01-05,3018,3339,358,330,9,739,104,10,10,115.37
2022-01-05,3019,2253,79,197,15,533,214,30,16,16.88
2022-01-05,3020,3822,449,868,64,1705,373,39,22,73.89
2022-01-05,3021,769,56,71,0,410,61,10,10,22.24
2022-01-05,3022,1277,4,1,0,144,26,4,2,1.47
2022-01-05,3023,3612,767,857,303,1169,354,116,77,323.23
2022-01-05,3024,3244,193,563,73,956,257,180,178,88.56
2022-01-05,3025,2826,303,845,254,438,62,7,5,116.21
2022-01-05,3026,4087,280,751,20,687,340,55,35,135.28
2022-01-05,3027,2178,59,91,27,298,47,5,4,10.68
2022-01-05,3028,2276,161,383,120,756,103,19,9,53.08
2022-01-05,3029,3750,182,257,124,395,368,52,36,77.58
2022-01-05,3030,468,33,25,0,202,25,5,5,4.88
2022-01-05,3031,4356,1573,5976,1266,600,64,9,6,124.55
2022-01-05,3032,101,12,17,5,11,9,1,1,1.48
2022-01-05,3033,2765,220,271,16,311,33,16,13,84.51
2022-01-05,3034,2370,213,531,178,358,87,36,20,75.2
2022-01-05,3035,3475,358,1226,50,670,126,16,11,44.35
2022-01-05,3036,4535,2154,3462,1046,554,56,8,5,867.82
2022-01-05,3037,2857,153,591,33,757,414,58,51,65.25
2022-01-05,3038,2552,450,1301,231,328,36,9,9,83.48
2022-01-05,3039,2552,171,281,74,297,37,5,2,41.35
2022-01-05,3040,4306,549,722,356,2081,899,236,181,53.9
2022-01-05,3041,446,106,224,48,322,46,5,4,48.47
2022-01-05,3042,2983,220,210,12,1270,1167,116,70,63.96
2022-01-05,3043,3351,15,25,0,1291,677,274,147,5.8
2022-01-05,3044,4028,40,8,0,1003,337,41,23,16.52
2022-01-05,3045,2741,131,402,193,1338,177,18,16,24.77
2022-01-05,3046,156,1,2,0,39,5,0,0,0.34
2022-01-05,3047,3107,373,1041,200,579,231,88,76,157.59
2022-01-05,3048,3418,592,2208,853,438,264,29,27,285.25
2022-01-05,3049,2281,391,451,27,281,45,15,8,87.84
2022-01-05,3050,2394,162,226,66,266,39,4,4,55.76
2022-01-06,3001,1045,146,138,46,158,33,10,6,12.39
2022-01-06,3002,3765,149,439,111,1046,163,25,25,34.0
2022-01-06,3003,4826,545,852,66,488,69,28,23,178.01
2022-01-06,3004,281,24,10,1,35,3,0,0,11.97
2022-01-06,3005,1728,166,145,8,415,67,16,12,41.06
2022-01-06,3006,958,84,220,31,120,19,2,2,10.18
2022-01-06,3007,3864,408,400,100,3035,679,328,189,125.04
2022-01-06,3008,4759,75,190,28,550,61,20,20,34.48
2022-01-06,3009,1351,641,910,118,635,140,22,16,218.88
2022-01-06,3010,1219,127,21,7,170,22,5,3,46.54
2022-01-06,3011,2029,200,114,12,256,26,5,4,17.21
2022-01-06,3012,3587,823,2023,206,401,174,54,29,93.9
2022-01-06,3013,1432,46,90,32,363,55,6,5,20.44
2022-01-06,3014,3678,305,583,144,604,558,87,59,47.05
2022-01-06,3015,2088,805,1440,152,1803,565,94,75,107.79
2022-01-06,3016,2094,91,139,25,281,267,35,18,11.55
2022-01-06,3017,4249,196,110,28,530,127,36,33,84.15
2022-01-06,3018,991,78,233,3,274,48,24,19,39.15
2022-01-06,3019,2407,77,120,28,608,125,14,13,18.04
2022-01-06,3020,691,72,154,49,403,74,9,7,11.44
2022-01-06,3021,3008,77,78,31,1001,176,39,34,24.09
2022-01-06,3022,2696,95,230,40,484,161,128,120,18.86
2022-01-06,3023,371,4,10,0,37,10,2,1,1.12
2022-01-06,3024,4669,439,292,10,1185,170,23,17,95.16
2022-01-06,3025,1923,101,6,2,237,47,6,5,21.54
2022-01-06,3026,2254,345,520,253,312,43,4,2,71.82
2022-01-06,3027,2425,148,164,21,1370,175,42,35,51.72
2022-01-06,3028,3403,533,2144,170,3370,983,104,104,110.13
2022-01-06,3029,1349,93,22,7,508,192,27,15,31.49
2022-01-06,3030,4988,760,538,30,1006,370,248,203,47.83
2022-01-06,3031,3762,847,977,408,417,56,7,4,98.85
2022-01-06,3032,4396,539,258,31,459,111,12,9,31.23
2022-01-06,3033,4961,284,485,54,863,107,19,16,54.39
2022-01-06,3034,4558,532,1428,435,1759,1149,178,166,29.75
2022-01-06,3035,3712,143,73,16,1007,198,33,21,32.47
2022-01-06,3036,3244,596,353,59,444,125,43,41,203.95
2022-01-06,3037,1355,169,347,47,144,142,15,15,55.86
2022-01-06,3038,2842,144,39,7,311,43,19,11,26.97
2022-01-06,3039,2435,49,7,0,350,51,15,7,23.76
2022-01-06,3040,675,77,83,16,82,11,5,2,21.94
2022-01-06,3041,3574,344,17,1,360,57,7,3,35.78
2022-01-06,3042,4390,1369,897,307,1587,320,160,149,396.41
2022-01-06,3043,3155,357,1188,42,2619,1846,287,208,102.71
2022-01-06,3044,548,52,122,27,330,36,3,3,9.89
2022-01-06,3045,3864,415,111,26,651,101,17,15,114.44
2022-01-06,3046,4427,204,363,27,557,72,7,3,59.26
2022-01-06,3047,1967,262,290,24,430,49,42,27,131.79
2022-01-06,3048,2388,264,57,16,552,352,35,19,71.03
2022-01-06,3049,1124,131,418,86,182,39,15,14,65.05
2022-01-06,3050,1139,139,500,12,370,48,10,7,61.15
2022-01-07,3001,2857,247,348,47,379,259,167,97,39.58
2022-01-07,3002,1574,124,116,42,297,30,5,5,57.36
2022-01-07,3003,3567,136,197,29,441,64,31,16,68.96
2022-01-07,3004,281,113,151,22,75,21,4,4,10.74
2022-01-07,3005,1935,91,136,4,271,128,103,58,23.83
2022-01-07,3006,1866,130,165,15,263,46,6,4,11.95
2022-01-07,3007,2013,195,333,28,393,52,8,4,62.12
2022-01-07,3008,1715,213,229,83,171,19,19,18,16.73
2022-01-07,3009,4183,14,1,0,938,138,17,10,6.91
2022-01-07,3010,3970,254,12,0,848,124,35,33,59.49
2022-01-07,3011,106,16,6,1,26,25,3,3,6.27
2022-01-07,3012,245,7,8,4,28,3,0,0,1.63
2022-01-07,3013,4561,354,502,116,1172,356,110,87,116.66
2022-01-07,3014,3330,172,145,31,633,210,45,30,45.97
2022-01-07,3015,3884,252,364,44,1044,1015,174,148,38.15
2022-01-07,3016,552,69,131,17,305,297,33,24,27.99
2022-01-07,3017,4737,992,4240,188,762,454,48,36,374.97
2022-01-07,3018,456,49,29,14,230,24,2,1,17.55
2022-01-07,3019,4758,285,412,170,3552,2762,1354,716,67.22
2022-01-07,3020,310,27,100,12,75,12,4,3,10.68
2022-01-07,3021,4895,1660,7103,1591,1098,272,51,46,274.88
2022-01-07,3022,3580,458,75,25,1948,253,70,67,193.35
2022-01-07,3023,4935,741,2819,427,509,436,54,52,335.27
2022-01-07,3024,1873,269,584,178,390,379,90,45,45.68
2022-01-07,3025,3001,583,286,22,338,43,4,3,291.62
2022-01-07,3026,4062,388,1144,557,609,153,17,8,68.73
2022-01-07,3027,3565,48,12,0,367,230,61,44,18.99
2022-01-07,3028,1640,574,1200,73,281,77,9,5,194.33
2022-01-07,3029,677,31,59,16,238,29,5,2,3.65
2022-01-07,3030,927,187,249,34,117,92,29,18,24.05
2022-01-07,3031,1721,106,233,85,175,61,6,3,25.5
2022-01-07,3032,3506,105,264,59,844,87,17,14,9.4
2022-01-07,3033,1999,184,100,2,252,101,15,8,14.46
2022-01-07,3034,425,76,9,2,83,17,2,1,10.47
2022-01-07,3035,4739,1751,1513,263,4556,868,237,209,770.21
2022-01-07,3036,3294,102,163,32,1517,188,20,19,35.71
2022-01-07,3037,768,68,75,20,518,178,19,16,21.77
2022-01-07,3038,2096,228,152,18,351,42,6,4,102.66
2022-01-07,3039,3298,842,3517,824,361,273,172,107,127.99
2022-01-07,3040,4961,428,233,16,508,505,156,127,191.44
2022-01-07,3041,1103,71,26,6,534,173,24,21,10.08
2022-01-07,3042,4023,68,318,69,516,89,12,7,29.73
2022-01-07,3043,3502,31,19,1,803,482,89,79,12.57
2022-01-07,3044,4361,1018,871,171,1236,139,23,17,435.83
2022-01-07,3045,3623,184,340,114,473,98,31,20,70.37
2022-01-07,3046,1175,4,5,1,172,22,2,1,2.67
2022-01-07,3047,2264,127,39,7,267,29,4,4,64.0
2022-01-07,3048,757,91,249,71,93,13,2,1,27.89
2022-01-07,3049,3454,320,671,198,515,59,10,6,144.15
2022-01-07,3050,4288,362,91,32,1831,1737,361,230,91.73
2022-01-08,3001,3402,558,313,94,385,60,56,38,85.09
2022-01-08,3002,3921,939,732,165,1659,176,19,12,101.8
2022-01-08,3003,3907,331,912,66,426,85,24,19,65.79
2022-01-08,3004,593,39,112,22,114,11,6,3,3.27
2022-01-08,3005,4985,394,904,279,768,229,160,133,192.2
2022-01-08,3006,203,18,47,22,35,8,1,0,1.32
2022-01-08,3007,2950,53,26,9,1431,144,27,24,28.23
2022-01-08,3008,2624,112,98,12,2573,857,198,160,45.19
2022-01-08,3009,2946,831,2060,274,362,46,35,17,297.75
2022-01-08,3010,4785,330,208,101,874,152,38,33,120.52
2022-01-08,3011,805,63,164,26,501,57,7,4,12.84
2022-01-08,3012,741,9,9,1,81,28,3,3,1.62
2022-01-08,3013,3907,311,518,139,527,61,28,20,59.88
2022-01-08,3014,329,20,18,5,221,107,21,13,1.7
2022-01-08,3015,4094,972,2222,149,1426,241,24,15,453.36
2022-01-08,3016,397,19,17,3,39,6,3,2,1.9
2022-01-08,3017,3930,600,42,13,562,69,11,10,285.91
2022-01-08,3018,4064,64,195,4,437,84,8,4,28.09
2022-01-08,3019,2846,167,458,21,362,50,23,18,41.69
2022-01-08,3020,1164,86,83,0,255,40,4,3,41.28
2022-01-08,3021,2735,88,258,11,1242,292,253,247,40.88
2022-01-08,3022,153,22,90,7,38,11,1,1,1.27
2022-01-08,3023,1048,63,50,1,110,27,3,1,9.5
2022-01-08,3024,2623,729,302,44,327,55,11,8,167.13
2022-01-08,3025,2126,181,466,77,777,123,22,20,40.74
2022-01-08,3026,1061,48,36,2,151,16,2,1,10.09
2022-01-08,3027,3560,892,1927,871,821,162,159,117,188.84
2022-01-08,3028,1489,6,11,1,186,29,2,2,2.04
2022-01-08,3029,4512,259,454,138,2183,1485,189,151,51.15
2022-01-08,3030,4375,460,48,2,2150,313,100,91,119.34
2022-01-08,3031,4711,299,331,69,619,61,12,8,63.48
2022-01-08,3032,4697,820,392,38,971,485,84,77,175.15
2022-01-08,3033,3290,171,167,21,576,500,337,306,43.15
2022-01-08,3034,610,22,104,4,208,21,2,2,3.55
2022-01-08,3035,1332,88,10,3,248,45,5,4,34.42
2022-01-08,3036,2343,134,264,23,260,121,21,19,31.55
2022-01-08,3037,4716,702,706,247,3044,924,194,181,155.55
2022-01-08,3038,3530,190,620,12,370,133,34,28,14.33
2022-01-08,3039,3061,616,702,103,648,130,13,8,297.09
2022-01-08,3040,4137,520,88,4,517,121,19,14,179.71
2022-01-08,3041,990,22,17,8,132,25,10,7,7.88
2022-01-08,3042,2553,455,277,78,909,106,15,7,122.42
2022-01-08,3043,2243,337,457,48,429,53,6,4,155.04
2022-01-08,3044,1844,15,1,0,229,26,22,12,6.39
2022-01-08,3045,204,3,2,1,52,7,1,1,0.43
2022-01-08,3046,4807,1107,665,10,1077,116,76,67,300.47
2022-01-08,3047,641,1,2,1,86,31,29,19,0.35
2022-01-08,3048,4768,1117,784,110,3398,415,90,58,498.49
2022-01-08,3049,201,6,3,1,20,4,0,0,3.0
2022-01-08,3050,3913,414,391,72,484,95,10,5,110.15
2022-01-09,3001,3941,696,1160,190,567,351,90,68,305.58
2022-01-09,3002,2674,96,372,182,302,33,10,8,46.59
2022-01-09,3003,1862,175,228,71,200,22,4,4,81.06
2022-01-09,3004,1551,69,344,120,219,31,7,3,26.06
2022-01-09,3005,3279,313,620,85,1549,277,127,97,94.04
2022-01-09,3006,1581,156,404,51,308,98,12,12,21.05
2022-01-09,3007,1770,245,243,9,215,25,4,4,34.83
2022-01-09,3008,2442,48,94,28,516,378,62,57,21.24
2022-01-09,3009,2086,176,567,143,1169,278,36,26,39.19
2022-01-09,3010,1380,97,375,9,152,31,6,4,6.17
2022-01-09,3011,1036,479,444,77,955,257,107,71,106.15
2022-01-09,3012,560,4,4,1,96,9,4,3,0.35
2022-01-09,3013,1270,161,193,95,596,138,17,11,46.93
2022-01-09,3014,4271,370,706,1,786,108,13,10,156.24
2022-01-09,3015,1760,43,120,6,212,53,13,6,18.1
2022-01-09,3016,1171,13,37,2,185,51,8,4,1.88
2022-01-09,3017,997,176,551,6,272,38,19,13,21.13
2022-01-09,3018,2087,741,1800,592,2018,325,37,34,246.14
2022-01-09,3019,971,179,25,2,144,67,6,4,72.43
2022-01-09,3020,102,4,20,2,11,1,0,0,0.25
2022-01-09,3021,684,31,116,36,167,55,6,4,5.4
2022-01-09,3022,1520,98,462,141,499,78,9,9,11.64
2022-01-09,3023,529,47,45,19,83,13,1,1,9.46
2022-01-09,3024,4064,37,127,26,720,126,121,120,17.45
2022-01-09,3025,1537,216,350,38,406,46,11,5,97.95
2022-01-09,3026,2745,92,255,35,319,104,15,13,16.0
2022-01-09,3027,3572,1176,849,227,692,283,28,21,242.05
2022-01-09,3028,2350,392,1050,120,387,190,47,33,61.91
2022-01-09,3029,193,19,17,2,26,6,2,2,7.54
2022-01-09,3030,4106,455,14,1,592,65,9,6,223.99
2022-01-09,3031,3265,331,1301,302,1255,267,42,38,56.3
2022-01-09,3032,3593,277,685,111,871,183,99,72,74.68
2022-01-09,3033,3321,234,914,21,3019,408,45,37,33.92
2022-01-09,3034,2151,176,30,10,785,118,14,10,55.72
2022-01-09,3035,1088,88,171,64,145,29,4,3,39.15
2022-01-09,3036,1257,12,52,11,504,53,5,3,4.27
2022-01-09,3037,1717,57,53,12,220,38,4,2,13.11
2022-01-09,3038,1916,372,1104,31,835,315,93,50,26.33
2022-01-09,3039,3332,321,7,2,755,203,33,22,139.21
2022-01-09,3040,4773,115,210,17,1167,958,100,61,42.11
2022-01-09,3041,4990,188,155,10,513,54,7,7,63.77
2022-01-09,3042,439,28,65,4,61,26,6,6,12.96
2022-01-09,3043,4787,573,1076,320,518,73,12,10,263.14
2022-01-09,3044,1219,124,127,4,151,50,10,10,52.3
